group,n,mean,median,stdev,ci95_halfwidth,ci95_low,ci95_high,max,p95
overall,50.000,232.140,223.000,52.641,14.591,217.549,246.731,399.000,317.250
time_triggered,30.000,240.067,231.000,46.596,17.397,222.669,257.464,399.000,295.100
datacap_triggered,20.000,220.250,205.500,59.872,28.020,192.230,248.270,345.000,325.050
