condition,metric,n,mean,median,stdev,ci95_halfwidth,ci95_low,ci95_high
A_otnt,sent_mbps,10.000,1249.922,1254.580,16.054,11.484,1238.438,1261.406
A_otnt,received_mbps,10.000,1249.470,1254.050,16.031,11.467,1238.003,1260.937
B_vanilla,sent_mbps,10.000,1231.049,1240.315,32.206,23.037,1208.012,1254.086
B_vanilla,received_mbps,10.000,1230.622,1239.885,32.192,23.027,1207.595,1253.649
